Acronym,Definition
NIC,National Intelligence Council
NICC,National Intelligence Coordination Center
NICCL,National Incident Communications Conference Line
NICCP,National Interdiction Command and Control Plan
NIE,national intelligence estimate
NIH,National Institutes of Health (DHHS)
NIL,National Information Library
NIMS,National Incident Management System
NIOC,Navy Information Operations Command
NIP,National Intelligence Program
NIPF,National Intelligence Priority Framework
NIPRNET,Nonsecure Internet Protocol Router Network
NISP,national intelligence support plan
NIST,National Institute of Standards and Technology
NIT,nuclear incident team
NITF,national imagery transmission format
NJOIC,National Joint Operations and Intelligence Center
NJTTF,National Joint Terrorism Task Force
NLT,not later than
nm,nautical mile
NMAWC,Naval Mine and Anti-Submarine Warfare Command
NMC,Navy Munitions Command
NMCB,naval mobile construction battalion
NMCC,National Military Command Center
NMCS,National Military Command System
NMCSO,Navy and Marine Corps spectrum office
NMEC,National Media Exploitation Center
NMIC,National Maritime Intelligence Center
NMIO,National Maritime Intelligence-Integration Office
NMIST,National Military Intelligence Support Team (DIA)
NMO,National Measurement and Signature Intelligence Office
NMS,national military strategy
NMS-CO,National Military Strategy for Cyberspace Operations
NMS-CWMD,National Military Strategy to Combat Weapons of Mass Destruction
NMSA,North Atlantic Treaty Organization (NATO) Mutual Support Act
NMSC,Navy and Marine Corps Spectrum Center
NMSP-WOT,National Military Strategic Plan for the War on Terrorism
NNSA,National Nuclear Security Administration (DOE)
NNWC,Naval Network Warfare Command
NOAA,National Oceanic and Atmospheric Administration (DOC)
NOACT,Navy overseas air cargo terminal
NOC,National Operations Center (DHS)
NOE,nap-of-the-earth
NOFORN,not releasable to foreign nationals
NOK,next of kin
NOLSC,Naval Operational Logistics Support Center
NOMWC,Navy Oceanographic Mine Warfare Center
non-CAAF,contractors not authorized to accompany the force
NORAD,North American Aerospace Defense Command
NOSC,network operations and security center
NOSSA,Navy Ordnance Safety and Security Activity
NOTAM,notice to airmen
NPF,national planning framework
NPPD,National Protection and Programs Directorate (DHS)
NPS,National Park Service
NPT,Treaty on the Nonproliferation of Nuclear Weapons
NRAT,nuclear/radiological advisory team
NRC,National Response Center (USCG)
NRCHB,Naval Reserve cargo-handling battalion
NRF,National Response Framework
NRG,notional requirements generator
NRO,National Reconnaissance Office
NRP,non-unit-related personnel
NRT,near real time
NS/EP,national security and emergency preparedness
NSA,National Security Agency
NSA/CSS,National Security Agency/Central Security Service
NSABB,National Science Advisory Board for Biosecurity (NIH)
NSARC,National Search and Rescue Committee
NSAT,United States Northern Command situational awareness team
NSAWC,Naval Strike and Air Warfare Center
NSC,National Security Council
NSC/DC,National Security Council/Deputies Committee
NSC/IPC,National Security Council/interagency policy committee
NSC/PC,National Security Council/Principals Committee
NSCS,National Security Council System
NSD,National Security Directive
NSDD,national security decision directive
NSDM,national security decision memorandum
NSE,Navy support element
NSF,national security forces
NSFS,naval surface fire support
NSG,National System for Geospatial Intelligence
NSHS,National Strategy for Homeland Security
NSL,no-strike list
NSMS,National Strategy for Maritime Security
NSN,national stock number
NSOC,National Security Operations Center
NSP,National Search and Rescue Plan
NSPD,national security Presidential directive
NSPI,National Strategy for Pandemic Influenza
NSS,National Search and Rescue Supplement
NSSE,national special security event
NST,National Geospatial-Intelligence Agency support team
NSTAC,National Security Telecommunications Advisory Committee
NSTS,National Secure Telephone System
NSW,naval special warfare
NSWCDD,Naval Surface Warfare Center Dahlgren Division
NSWC IHEODTD,"Naval Surface Warfare Center, Indian Head Explosive Ordnance Disposal Technology Division"
NSWTF,naval special warfare task force
NSWTG,naval special warfare task group
NSWTU,naval special warfare task unit
NTA,nontraditional agent
NTACS,Navy tactical air control system
NTIA,National Telecommunications and Information Administration (DOC)
NTM,national or multinational technical means of verification
NTRP,Navy tactical reference publication
NTS,noncombatant evacuation operation tracking system
NTSB,National Transportation Safety Board
NTTP,"Navy tactics, techniques, and procedures"
NUC,non-unit-related cargo
NUFEA,Navy-unique fleet essential aircraft
NURP,non-unit-related personnel
NVD,night vision device
NVDT,National Geospatial-Intelligence Agency voluntary deployment team
NVG,night vision goggle
NVOAD,National Voluntary Organizations Active in Disaster
NWDC,Navy Warfare Development Command
NWP,Navy warfare publication
NWS,National Weather Service
O&I,operations and intelligence
O&M,operation and maintenance
OA,objective area
OAE,operational area evaluation
OAF,Operation ALLIED FORCE
OAFME,Office of the Armed Forces Medical Examiner
OAI,oceanographic area of interest
OAM,Office of Air and Marine (DHS)
OAP,offset aimpoint
OAS,offensive air support
OASD,Office of the Assistant Secretary of Defense
OASD(NII/CIO),Office of the Assistant Secretary of Defense (Networks and Information Integration/Chief Information Officer)
OASD(PA),Office of the Assistant Secretary of Defense (Public Affairs)
OASD(RA),Office of the Assistant Secretary of Defense (Reserve Affairs)
OAU,Organization of African Unity
OB,order of battle
O/B,outboard
OBA,Office of Biotechnology Activities (NIH)
OBFS,offshore bulk fuel system
OBIM,Office of Biometric Identity Management (DHS)
OC,operations center
OCA,offensive counterair
OCBD,Office of Capacity Building and Development (USDA)
OCCA,ocean cargo clearance authority
OCDETF,Organized Crime and Drug Enforcement Task Force
OCHA,Office for the Coordination of Humanitarian Affairs
OCIE,organizational clothing and individual equipment
OCJCS,Office of the Chairman of the Joint Chiefs of Staff
OCO,offensive cyberspace operations
OCONUS,outside the continental United States
OCP,operational capability package
OCS,operational contract support
OCSIC,operational contract support integration cell
OCU,offload control unit
ODC,Office of Defense Cooperation
ODCSLOG,Office of the Deputy Chief of Staff for Logistics (Army)
ODNI,Office of the Director of National Intelligence
OE,operational environment
OE&AS,organization for embarkation and assignment to shipping
OEBGD,Overseas Environmental Baseline Guidance Document
OEC,Office of Emergency Communications (DHS)
OECD,Organisation for Economic Co-operation and Development
OEF,Operation ENDURING FREEDOM
OEG,operational experts group
OEH,occupational and environmental health
OER,officer evaluation report
OES,office of emergency services
OFAC,Office of Foreign Assets Control (Treasury)
OFCO,offensive counterintelligence operation
OFDA,Office of United States Foreign Disaster Assistance (USAID)
OFSC,Organizational and Force Structure Construct
OHDACA,"Overseas Humanitarian, Disaster, and Civic Aid (DSCA)"
OHDM,"Office of Humanitarian Assistance, Disaster Relief, and Mine Action"
OI,operating instruction
OIA,Office of Insular Affairs (DOI)
OIC,officer in charge
OICC,officer in charge of construction
OIF,Operation IRAQI FREEDOM
OIIL,Office of Intelligence and Investigative Liaison (CBP)
OIR,other intelligence requirements
OCJCS-PA,Office of the Chairman of the Joint Chiefs of Staff-Public Affairs
OJT,on-the-job training
OLEM,Office of Land and Emergency Management (EPA)
OMA,Office of Military Affairs (CIA and USAID)
OMB,Office of Management and Budget
OMC,Office of Military Cooperation
OMS,Office of Mission Support
OMSPH,"Office of Medicine, Science, and Public Health (DHHS)"
ONDCP,Office of National Drug Control Policy
ONE,Operation NOBLE EAGLE
ONI,Office of Naval Intelligence
OOB,order of battle
OOD,officer of the deck
OODA,"observe, orient, decide, act"
OOS,out of service
OP,observation post
OPC,Ocean Prediction Center (DOC)
OPCON,operational control
OPDAT,"Office of Overseas Prosecutorial Development, Assistance, and Training (DOJ)"
OPDEC,operational deception
OPDS,offshore petroleum discharge system (USN)
OPDS-Future,offshore petroleum discharge system-future (USN)
OPDS-L,offshore petroleum discharge system-legacy (USN)
OPE,operational preparation of the environment
OPELINT,operational electronic intelligence
OPEO,Office of Preparedness and Emergency Operations (DHHS)
OPFOR,opposing force
OPG,operations planning group
OPGEN,operation general matter
OPIR,overhead persistent infrared
OPLAN,operation plan
OPLAW,operational law
OPM,Office of Personnel Management
OPMG,Office of the Provost Marshal General
OPNAV,Office of the Chief of Naval Operations
OPNAVINST,Chief of Naval Operations instruction
OPORD,operation order
OPP,off-load preparation party
OPR,office of primary responsibility
OPREP,operational report
OPROJ,operational project
OPS,operational project stock
OPSDEPS,Service Operations Deputies
OPSEC,operations security
OPSTK,operational stock
OPT,operational planning team
OPTAR,operating target
OPTASK,operation task
OPTASKLINK,operations task link
OPTEMPO,operating tempo
OR,operational readiness
ORBAT,order of battle
ORD,Office of Research and Development (EPA)
ORM,operational risk management
ORP,ocean reception point
ORS,operationally responsive space
ORSA,operations research and systems analysis
OS,operating stocks
OSA,operational support airlift
OSC,offensive space control
OSCE,Organization for Security and Cooperation in Europe
OSD,Office of the Secretary of Defense
OSD/DMDPO,"Office of the Secretary of Defense, Defense Military Deception Program Office"
OSE,operations support element
OSEI,operational significant event imagery
OSINT,open-source information
OSM,Office of Spectrum Management (NTIA)
OSOCC,on-site operations coordination center
OSR,on-station report
OT&E,operational test and evaluation
OTA,Office of Technical Assistance (Treasury)
OTC,officer in tactical command
OTERA,"organize, train, equip, rebuild/build, and advise"
OTH,over the horizon
OTI,Office of Transition Initiatives (USAID)
OUB,offshore petroleum discharge system utility boat
OUSD,Office of the Under Secretary of Defense
OUSD(C),Office of the Under Secretary of Defense (Comptroller)
OUSD(C/CFO),Office of the Under Secretary of Defense (Comptroller/Chief Financial Officer)
OUSD(I),Office of the Under Secretary of Defense (Intelligence)
OUSD(P),Office of the Under Secretary of Defense for Policy
OUSD(AT&L),"Office of the Under Secretary of Defense (Acquisition, Technology, and Logistics)"
OVM,Operation VIGILANT MARINER
OWS,operational weather squadron
P,publication
PA,physician assistant
PACAF,Pacific Air Forces
PAD,patient administration director
PADD,person authorized to direct disposition of human remains
PAG,public affairs guidance
PALCON,pallet container
PAM,preventive and aerospace medicine
PaM,passage material
PAO,public affairs office
PAR,population at risk
PARS,Personnel and Accountability System
PAWS,phased array warning system
PAX,passengers
PB,peace building
PB4T,planning board for training
PBA,performance-based agreement
PBIED,person-borne improvised explosive device
PBOS,Planning Board for Ocean Shipping
PBR,program and budget review
PC,patrol craft
PC&S,"post, camp, and station"
PCA,Posse Comitatus Act
PCASS,Preliminary Credibility Assessment Screening System
PCC,police contributing country
PCO,primary control officer
PCRTS,primary casualty receiving and treatment ship
PCS,permanent change of station
PCTC,pure car and truck carrier
PD,position description
PDA,preliminary damage assessment
PDAL,prioritized defended asset list
PDC,Pacific Disaster Center
PDD,Presidential decision directive
PDF,portable data file
PDSS,predeployment site survey
PDT,partnership development team
PDUSD(P&R),Principal Deputy Under Secretary of Defense (Personnel and Readiness)
PE,personal effects
PED,"processing, exploitation, and dissemination"
PEIO,personnel effects inventory officer
PEO,peace enforcement operations
PEP,personnel exchange program
PERE,person eligible to receive effects
PERMA,"planning, embarkation, rehearsal, movement, and action"
PERMREP,permanent representative (NATO)
PERSCO,personnel support for contingency operations
PFA,primary federal agency
PFDB,planning factors database
PFO,principal federal offical
PfP,Partnership for Peace (NATO)
PGI,"procedures, guidance, and information"
PGM,precision-guided munition
PHEO,public health emergency officer
PHIBCB,amphibious construction battalion
PHIBOP,amphibious operation
PHIBRON,amphibious squadron
PHIT,port handling/in-land transportation
PI,pandemic influenza
Pi,probability of incapacitation
PI&ID,pandemic influenza and infectious disease
PIAB,President’s Intelligence Advisory Board
PIC,payment in cash
PID,plan identification number
PII,pre-incident indicators
PIN,personnel increment number
PIO,public information officer
PIR,priority intelligence requirement
PIREP,pilot report
PIRT,purposeful interference response team
PISA,post isolation support activity
PIU,patient isolation unit
PJ,pararescue jumper
PK,probability of kill
PKB,purple kill box
PKI,public key infrastructure
PKO,peacekeeping operations
PKSOI,Peacekeeping and Stability Operations Institute
PL,phase line
PLA,post-launch abort
PLAD,plain language address directory
PLANORD,planning order
PLB,personal locator beacon
PLS,palletized load system
PLT,platoon
PM,Bureau of Political-Military Affairs (DOS)
PMA,political/military assessment
PMC,private military company
PMCF,post maintenance check flight
PME,professional military education
PMESII,"political, military, economic, social, information, and infrastructure"
PMGM,program manager's guidance memorandum
PMI,patient movement item
PMITS,Patient Movement Item Tracking System
PMO,production management office(r)
PMR,patient movement request
PMRC,patient movement requirements center
PN,partner nation
PNA,postal net alert
PNT,"positioning, navigation, and timing"
PO,peace operations
POA,plan of action
POB,persons on board
POC,point of contact
POCD,port operations cargo detachment
POD,plan of the day
POE,port of embarkation
POES,polar operational environment satellite
POF,priority of fires
POG,port operations group
POL,"petroleum, oils, and lubricants"
POLAD,policy advisor
POLCAP,bulk petroleum capabilities report
POLMIL,political-military
POM,program objective memorandum
PORTSIM,port simulation model
POS,point of sale
POTUS,President of the United States
POV,privately owned vehicle
POW,prisoner of war
POW/MIA,prisoner of war/missing in action
PPAG,proposed public affairs guidance
PPBE,"Planning, Programming, Budgeting, and Execution"
PPD,Presidential policy directive
PPE,personal protective equipment
PPF,personnel processing file
PPLI,precise participant location and identification
PPTO,petroleum pipeline and terminal operating
PR,personnel recovery
PRA,patient reception area
PRC,populace and resources control
PRCC,personnel recovery coordination cell
PRCS,personnel recovery coordination section
PRD,personnel readiness division
PRDO,personnel recovery duty officer
PREPO,"pre-positioned force, equipment, or supplies"
PREREP,pre-arrival report
PRF,pulse repetition frequency
PRG,personnel recovery guidance
PRIFLY,primary flight control
Prime BEEF,prime base engineer emergency force
PRISM,"Planning Tool for Resource, Integration, Synchronization, and Management"
PRM,"Bureau of Population, Refugees, and Migration (DOS)"
PRMS,personnel recovery mission software
PROVORG,providing organization
PRP,Personnel Retrieval and Processing
PRRP,personnel recovery reference product
PRT,patient reception team
PRTF,personnel recovery task force
PS,port security
PSA,port support activity
PSC,private security contractor
PSD,port security detachment
PSI,Proliferation Security Initiative
psi,pounds per square inch
PSO,peace support operations (NATO)
PSS,personnel services support
PSS-SOF,Precision Strike Suite-Special Operations Forces
P-STATIC,precipitation static
PSU,port security unit
PTDO,prepare to deploy order
PTM,personnel transport module
PTTI,precise time and time interval
PUK,packup kit
PV,prime vendor
PVNTMED,preventive medicine
PVT,"positioning, velocity, and timing"
PWG,protection working group
PWRR,pre-positioned war reserve requirements
PWRS,petroleum war reserve stocks
PWS,performance work statement
PWT,precision weapons team
QA,quality assurance
QAR,quality assurance representative
QAT,quality assurance team
QC,quality control
QDR,quadrennial defense review
QHDA,qualified hazardous duty area
QIP,quick impact project
QM,quartermaster
QRF,quick reaction force
QRG,quick response graphic
QRP,quick response posture
QS,quality surveillance
QSTAG,quadripartite standardization agreement
QUADCON,quadruple container
R&D,research and development
R&R,rest and recuperation
R&S,reconstruction and stabilization
R2P2,rapid response planning process
RA,response action
RAC-OT,readiness assessment system - output tool
RAD,routine aerial distribution
RADBN,radio battalion
RADC,regional air defense commander
RADCON,radiological control team
RAF,Royal Air Force (UK)
RAM,raised angle marker
RAMCC,regional air movement control center
RAP,Radiological Assistance Program (DOE)
RAS-OT,readiness assessment system-output tool
RATE,"refine, adapt, terminate, execute"
RBA,reimbursable budget authority
RBC,red blood cell
RC,Reserve Component
RCA,riot control agent
RCC,regional contracting center
RCD,regional collection detachment
RCEM,regional contingency engineering management
RCIED,radio-controlled improvised explosive device
RCM,Rules for Courts-Martial
RCMP,Royal Canadian Mounted Police
RCO,regional contracting office
RCT,regimental combat team
RDCFP,Regional Defense Counterterrorism Fellowship Program
RDCTFP,Regional Defense Combating Terrorism Fellowship Program
RDD,radiological dispersal device
RDO,request for deployment order
RDT&E,"research, development, test and evaluation"
REA,Rapid Environmental Impact Assessment
REAC/TS,radiation emergency assistance center/training site (DOE)
RED,radiological exposure device
RED HORSE,rapid engineer deployable heavy operational repair squadron engineer
REF,Rapid Equipping Force (Army)
REPOL,bulk petroleum contingency report
REPUNIT,reporting unit
RES,radiation exposure status
RESCAP,rescue combat air patrol
RESCORT,rescue escort
RESPROD,responsible production
RF,radio frequency
RFA,request for assistance
RFC,request for capabilities
RF CM,radio frequency countermeasures
RFD,revision first draft
RFF,request for feedback
RFI,radio frequency interference
RFID,radio frequency identification
RFL,restrictive fire line
RFP,request for proposal
RFS,request for service
RGS,remote geospatial intelligence services
Rh,Rhesus
RHIB,rigid hull inflatable boat
RICO,regional interface control officer
RIK,replacement in kind
RLD,ready-to-load date
RM,ramp module
RMC,rescue mission commander
RMO,regional Marine officer
RMP,religious ministry professional
RMS,requirements management system
RMT,response management team
RO/RO,roll-on/roll-off
ROC,rehearsal of concept
ROE,rules of engagement
ROICC,resident officer in charge of construction
ROK,Republic of Korea
ROM,restriction of movement
ROMO,range of military operations
RON,remain overnight
ROS,reduced operating status
ROTC,Reserve Officer Training Corps
ROWPU,reverse osmosis water purification unit
ROZ,restricted operations zone
RP,religious program specialist
RPG,rocket propelled grenade
RPM,revolutions per minute
RPO,rendezvous and proximity operations
RPOE,rapid port opening element
RQT,rapid query tool
RR,reattack recommendation
RRCC,regional response coordination center
RRDF,roll-on/roll-off discharge facility
RRF,rapid response force
RS,religious support
RSC,regional service center
RSE,retrograde support element
RSF,recovery support function
RSI,"rationalization, standardization, and interoperability"
RSN,role specialist nation
RSO,"reception, staging, and onward movement"
RSOI,"reception, staging, onward movement, and integration"
RSS,really simple syndication
RSSC,regional space support center
RSSC-LO,regional space support center liaison officer
RST,religious support team
RSTA,"reconnaissance, surveillance, and target acquisition"
RT,recovery team
RTB,return to base
RTCC,rough terrain container crane
RTCH,rough terrain container handler
RTD,returned to duty
RTF,return to force
RTL,restricted target list
RUF,rules for the use of force
RV,rendezvous
RW,rotary-wing
RWR,radar warning receiver
S&R,search and recovery
S&T,science and technology
S&TI,scientific and technical intelligence
S-1,battalion or brigade manpower and personnel staff officer (Marine Corps battalion or regiment)
S-2,"battalion or brigade intelligence staff officer (Army, Marine Corps battalion or regiment)"
S-3,battalion or brigade operations staff officer (Army
S-Team,staff augmentation team
S/CRS,Office of the Coordinator for Reconstruction and Stabilization (DOS)
S/CT,Office of the Coordinator for Counterterrorism (DOS)
SA,security assistance
SAA,senior airfield authority
SAAFR,standard use Army aircraft flight route
SAAM,special assignment airlift mission
SAC,special actions cell
SACC,supporting arms coordination center (USMC)
SACEUR,"Supreme Allied Commander, Europe (NATO)"
SACT,Supreme Allied Commander Transformation
SADC,sector air defense commander
SADL,situation awareness data link
SADO,senior air defense officer
SAFE,secure analyst file environment
SAG,surface action group
SALM,single-anchor leg mooring
SALT,supporting arms liaison team
SAM,surface-to-air missile
SAO,security assistance office
SAP,special access program
SAPO,subarea petroleum office
SAPR,sexual assault prevention and response
SAR,satellite access request
SARC,sexual assault response coordinator
SARDOT,search and rescue point
SARIR,search and rescue incident report
SAROPS,Search and Rescue Optimal Planning System
SARREQ,search and rescue request
SARSAT,search and rescue satellite-aided tracking
SARSIT,search and rescue situation summary report
SATCOM,satellite communications
SATRAN,satellite reconnaissance advanced notice
SBCT,Stryker brigade combat team
SBU,sensitive but unclassified
SC,security cooperation
SCA,sociocultural analysis
SCAR,strike coordination and reconnaissance
SCC,service cryptologic component
SCC-WMD,United States Strategic Command Center for Combating Weapons of Mass Destruction 
SCF(US),Save the Children Federation (United States)
SCG,Security Cooperation Guidance
SCHBT,"shape, clear, hold, build, and transition"
SCI,sensitive compartmented information
SCIF,sensitive compartmented information facility
SCL,standard conventional load
SCM,security countermeasure
SCO,secondary control officer
SCP,security cooperation plan
SCT,shipping coordination team
SD,severe damage
SDA,senior development advisor
SDB,Satellite Communications Database
SDDC,Military Surface Deployment and Distribution Command
SDDCTEA,Surface Deployment and Distribution Command Transportation Engineering Agency
SDF,self defense force
SDO,senior defense official
SDO/DATT,senior defense official/defense attaché
SDP,strategic distribution platform
SDZ,self-defense zone
SE,site exploitation
SEA,ships' bunkers easy acquisition
Seabee,Navy construction engineer
SEAD,suppression of enemy air defenses
SEC,submarine element coordinator
SECAF,Secretary of the Air Force
SECARMY,Secretary of the Army
SecDef,Secretary of Defense
SECDHS,Secretary of the Department of Homeland Security
SECHS,Secretary of Homeland Security
SECNAV,Secretary of the Navy
SECNAVINST,Secretary of the Navy instruction
SECOMP,secure en route communications package
SECSTATE,Secretary of State
SECTRANS,Secretary of Transportation
SEF,sealift enhancement feature
SEL,senior enlisted leader
SEMA,special electronic mission aircraft
SEPLO,state emergency preparedness liaison officer
SERE,"survival, evasion, resistance, and escape"
SES,senior executive service
SEW,shared early warning
SEWOC,signals intelligence/electronic warfare operations centre (NATO)
SF,security force
SFA,security force assistance
SFAF,standard frequency action format
SFAT,spectrum flyaway team
SFC,single-fuel concept
SFCP,shore fire control party
SFG,special forces group
SFMS,special forces medical sergeant
SFOR,Stabilization Force
SG,steering group
SGS,strategic guidance statement
SGXM,"Headquarters, Air Mobility Command/Surgeon"
SHAPE,"Supreme Headquarters Allied Powers, Europe"
SHF,super-high frequency
SHORAD,short-range air defense
SHORADEZ,short-range air defense engagement zone
SI,United States Strategic Command strategic instruction
SIC,supporting intelligence center
SICO,sector interface control officer
SIDO,senior intelligence duty officer
SIF,selective identification feature
SIGINT,signals intelligence
SIM,system impact message
SIMLM,single integrated medical logistics manager
SINCGARS,single-channel ground and airborne radio system
SIO,senior intelligence officer
SIOC,Strategic Information and Operations Center (FBI)
SIPRNET,SECRET Internet Protocol Router Network
SIR,specific information requirement
SIT,special interest target
SITREP,situation report
SIV,special interest vessel
SJA,staff judge advocate
SJFHQ(CE),standing joint force headquarters (core element)
SJFHQ-E,standing joint force headquarters - elimination
SJOA,space joint operating area
SJS,"Secretary, Joint Staff"
SLA,special leave accrual 
SLBM,submarine-launched ballistic missile
SLCM,sea-launched cruise missile
SLCP,ship lighterage control point
SLO,space liaison officer
SLOC,sea line of communications
SLRP,"survey, liaison, and reconnaissance party"
SLS,shoot-look-shoot
SLWT,side loadable warping tug
SM,spectrum management
SMB,spectrum management branch
SMC,search and rescue mission coordinator
SMCA,single manager for conventional ammunition
SMCM,surface mine countermeasures
SME,subject matter expert
SMO,senior meteorological and oceanographic officer
SMRC,Specialized Medical Response Capabilities
SMS,Single Mobility System
SMU,special mission unit
SMWDC,Surface and Mine Warfighting Development Center
SN,serial number
SNA,social network analysis
SNCO,staff noncommissioned officer
SNF,strategic nuclear forces
SOA,special operations aviation (Army)
SOAGS,special operations air-ground system
SOC,special operations commander
SOC-FWD,special operations command-forward
SOCCE,special operations command and control element
SOCCET,special operations critical care evacuation team
SOCM,special operations combat medic
SOCPAC,"Special Operations Command, Pacific"
SOD,space operations directive
SOE,special operations executive
SOF,special operations forces
SOF-CF,special operations forces-conventional forces
SOFA,status-of-forces agreement
SOFLE,special operations forces liaison element
SOG,special operations group
SOI,signal operating instructions
SOIC,senior officer of the intelligence community
SOJTF,special operations joint task force
SOLE,special operations liaison element
SOLO,special operations liaison officer
SOMA,status of mission agreement
SOMARDS,Standard Operation and Maintenance Army Research and Development System
SOMARDS NT,Standard Operation and Maintenance Army Research and Development System Non-Technical
SOP,standard operating procedure
SORTIEALOT,sortie allotment message
SORTS,Status of Resources and Training System
SOSB,special operations support battalion
SOSI,space object and surveillance identification
SOST,special operations support team
SOTA,signals intelligence operational tasking authority
SOTF,special operations task force
SOW,special operations wing
SP,security police
SPE,senior procurement executive
SPECAT,special category
SPG,Strategic Planning Guidance
SPI,sensor point of interest
SPINS,special instructions
SPM,service postal manager
SPMAGTF,special purpose Marine air-ground task force
SPOD,seaport of debarkation
SPOE,seaport of embarkation
SPOT,Synchronized Predeployment and Operational Tracker
SPOTREP,spot report
SPP,Security and Prosperity Partnership of North America
SR,special reconnaissance
SRBM,short-range ballistic missile
SRG,Seabee readiness group
SRI,"surveillance, reconnaissance, and intelligence (Marine Corps)"
SRM,"sustainment, restoration, and modernization"
SROE,standing rules of engagement
SRR,search and rescue region
SRSG,special representative of the Secretary-General
SRUF,standing rules for the use of force
SS,steamship
SSA,security sector assistance
SSB,single side band
SSC,small scale contingency
SSCO,shipper's service control office
SSE,space support element
SSI,standing signal instruction
SSM,surface-to-surface missile
SSN,Social Security number
SSO,special security office(r)
SSPM,single-service postal manager
SSR,security sector reform
SSS,Selective Service System
SST,special support team (National Security Agency)
SSTR,"stability, security, transition, and reconstruction"
SSWG,space support working group
ST,short ton
STANAG,standardization agreement (NATO)
STAR,sensitive target approval and review
STARS,Standard Accounting and Reporting System
START,Strategic Arms Reduction Treaty
STEP,standardized tactical entry point
STO,special technical operations
STOL,short takeoff and landing
STON,short ton
STS,special tactics squadron
STT,special tactics team
STU,secure telephone unit
STW,strike warfare
STWC,strike warfare commander
SUBOPAUTH,submarine operating authority
SUPP,supplement
SUPPO,supply officer
SUROBS,surf observation
SUST BDE,sustainment brigade
SUW,surface warfare
SUWC,surface warfare commander
SVC,stored value card
SW,shallow water
SWO,staff weather officer
SWPC,Space Weather Prediction Center
SXXI,SPECTRUM XXI
SXXI-O,SPECTRUM XXI-Online
SYG,Secretary-General (UN)
SYSCOM,systems command
SZ,surf zone
T&E,test and evaluation
T-ACS,auxiliary crane ship
T-AH,hospital ship
T-AVB,aviation logistics support ship
T-JTB,theater-joint transportation board
T/M/S,"type, model, and/or series"
T2,technology transfer
TA,target acquisition
TAA,tactical assembly area
TAACOM,theater Army area command
TAAMDCOORD,theater Army air and missile defense coordinator
TAC,terminal attack control
TAC(A),tactical air coordinator (airborne)
TAC-D,tactical deception
TACAIR,tactical air
TACAN,tactical air navigation
TACC,tanker airlift control center
TACLOG,tactical-logistical
TACO,theater allied contracting office
TACON,tactical control
TACOPDAT,tactical operational data
TACP,tactical air control party
TACRON,tactical air control squadron
TACS,tactical air control system
TACSAT,tactical satellite
TACT,tactical aviation control team
TAD,tactical air direction
TADC,tactical air direction center
TAF,tactical air force
TAFT,technical assistance field team
TAG,technical assistance group
TAGS,theater air-ground system
TAI,target area of interest
T-AKR,fast logistics ship
TAMP,Transitional Assistance Management Program
TAO,tactical air officer
TAOC,tactical air operations center (USMC)
TAR,tactical air request
TARWI,target weather and intelligence
TASKORD,tasking order
TASWC,theater antisubmarine warfare commander
TAT,tactical analysis team
TATC,tactical air traffic control
TB(X),transportation brigade (expeditionary)
TBC,theater business clearance
TBM,theater ballistic missile
TBMCS,theater battle management core system
TBMD,theater ballistic missile defense
TB MED,technical bulletin medical
TC,training circular
TC-AIMS II,Transportation Coordinator's Automated Information for Movement System II
TCA,traditional combatant commander activity
TCC,transportation component command
TCEM,theater contingency engineering management
TCF,tactical combat force
TCM,theater construction manager
TCMD,transportation control and movement document
TCN,third country national
TCO,termination contracting officer
TCP,theater campaign plan
TCPED,"tasking, collection, processing, exploitation, and dissemination"
TCS,theater communications system
TCSP,theater consolidation and shipping point
TD,temporary duty (USMC)
TDC,target development cell
TDD,time-definite delivery
TDF,theater detention facility
TDL,tactical data link
TDN,tactical data network
TDP,theater distribution plan
TDRC,theater detainee reporting center
TDY,temporary duty
TEA,Transportation Engineering Agency
TEC,theater engineer command
TECHCON,technical control
TECHELINT,technical electronic intelligence
TECHINT,technical intelligence
TEDAC,Terrorist Explosive Device Analytical Center (FBI)
TEL,transporter-erector-launcher
TEMPER,tent extendible modular personnel
TENCAP,tactical exploitation of national capabilities program
TEO,team embarkation officer
TEP,theater engagement plan
TERCOM,terrain contour matching
TES,theater event system
TET,targeting effects team
TETK,TeleEngineering Toolkit
TEU,technical escort unit
TEWLS,Theater Enterprise Wide Logistics System
TF,task force
TFC,threat finance cell
TFCICA,task force counterintelligence coordinating authority
TFE,tactical field exchange
TFF,total force fitness
TFMS-M,Transportation Financial Management System-Military
TG,task group
TGM,terminally guided munitions
TGO,terminal guidance operations
THAAD,Terminal High Altitude Area Defense
THREATCON,terrorist threat condition
THT,tactical human intelligence team
THX,theater express
TI,threat identification
TIA,theater intelligence assessment
TIB,theater intelligence brigade
TIC,target information center
TIDE,Terrorist Identities Datamart Environment
TIM,toxic industrial material
TIO,target intelligence officer
TIP,target intelligence package
TIR,toxic industrial radiological
TJAG,the judge advocate general
TLA,theater logistics analysis
TLAM,Tomahawk land-attack missile
TLAMM,theater lead agent for medical materiel
TLE,target location error
TLM,target list management
TLO,theater logistics overview
TM,target materials
TMAO,theater mortuary affairs office
TMD,theater missile defense
TMEP,theater mortuary evacuation point
TMIP,theater medical information program
TMM,"transregional, multi-domain, and multi-functional"
TMO,traffic management office
TMT,time-phased force and deployment data management tool
TNCC,theater network operations control center
TNL,target nomination list
TO,technical order
TO&E,table of organization and equipment
