Definition,Acronym
maritime pre-positioning ship; Military Planning Service (UN); Military Postal Service,MPS
Military Postal Service Agency,MPSA
maritime pre-positioning ships squadron,MPSRON
milliradian,MR
medical radiobiology advisory team,MRAT
medium-range ballistic missile,MRBM
magnetic resonance imaging,MRI
mass rescue operation; materiel release order; medical regulating office; medical regulating officer,MRO
minimum-risk route,MRR
measurement and signature intelligence (MASINT) requirements system,MRS
maintenance recovery team,MRT
mission readiness exercise,MRX
Microsoft,MS
Maritime Security Act,MSA
major subordinate command; Military Sealift Command,MSC
military support to civilian authorities,MSCA
maritime security center augment team,MSCAT
Military Sealift Command Office,MSCO
mobile security division,MSD
mission support element,MSE
mission support force; mobile security force,MSF
Marine security guard; message,MSG
message identification,MSGID
"mission, symbolism, history, accessibility, recognizability, population, and proximity",MSHARPP
modified surface index,MSI
Missile and Space Intelligence Center,MSIC
mean sea level; military shipping label ,MSL
map support office; maritime security operations; military source operation; military strategic objective; military support operations,MSO
Marine special operations advisor group,MSOAG
Marine special operations company,MSOC
Marine Special Operations Regiment,MSOR
Maritime Security Program; master space plan; mission support plan,MSP
main supply route; mission support request,MSR
mission strategic resource plan,MSRP
Maritime Security Response Team (USCG),MSRT
maritime safety and security team,MSST
mission support team,MST
Military Technical Acceptance Board,MTAB
Multiple Threat Alert Center (DON),MTAC
motor transport battalion,MT Bn
Missile Technology Control Regime,MTCR
mitochondrial deoxyribonucleic acid,mtDNA
medical treatment facility; military information support operations task force,MTF
multi-tactical data link network,MTN
mission type order,MTO
measurement ton,MTON
Marine tactical publication; mission tasking packet,MTP
Marine tactical system; Movement Tracking System,MTS
major theater war,MTW
Mobile Users Object System,MUOS
mobile utilities support equipment,MUSE
merchant vessel,MV
Missile Warning Center (USSTRATCOM),MWC
military working dog,MWD
mobilization working group,MWG
"morale, welfare, and recreation",MWR
Marine wing support detachment,MWSD
Marine wing support group,MWSG
Marine wing support squadron,MWSS
modular warping tug,MWT
Director of Naval Intelligence; Navy component intelligence staff officer,N-2
Director of Naval Communications Networks,N-6
non-Article 5 crisis response operation (NATO),NA5CRO
North Atlantic Council (NATO),NAC
North American Datum 1983,NAD 83
"nonproliferation, antiterrorism, demining, and related programs",NADR
Navy acquisition executive,NAE
Naval Air Engineering Center - Engineering,NAEC-ENG
nonappropriated funds; numbered air force,NAF
named area of interest,NAI
Navy ammunition logistics code,NALC
naval and amphibious liaison element,NALE
naval advanced logistic support site,NALSS
National Air Mobility System,NAMS
nonconventional assisted recovery; notice of ammunition reclassification,NAR
national atmospheric release advisory capability; National Atmospheric Release Advisory Center (DOE),NARAC
Nuclear Weapon Accident Response Procedures,NARP
naval air station,NAS
National Aeronautics and Space Administration,NASA
National Air and Space Intelligence Center,NASIC
North Atlantic Treaty Organization,NATO
Naval Air Training and Operating Procedures Standardization,NATOPS
navigational aids,NAVAIDS
Naval Air Systems Command,NAVAIR
Navy Cyber Forces,NAVCYBERFOR
Navy expeditionary logistics support group,NAVELSG
Naval Explosives Ordnance Disposal Technology Division,NAVEODTECHDIV
Naval Facilities Engineering Command,NAVFAC
Naval Facilities Engineering Command,NAVFACENGCOM
Naval Facilities Engineering and Expeditionary Warfare Center,NAVFAC EXWC
Navy forces,NAVFOR
Navy Material Transportation Office,NAVMTO
Naval Oceanographic Office,NAVOCEANO
navigation satellite,NAVSAT
Naval School Explosive Ordnance Disposal,NAVSCOLEOD
Naval Sea Systems Command,NAVSEA
Naval Sea Systems Command instruction,NAVSEAINST
Naval Satellite Operations Center; naval special operations command,NAVSOC
Navy special operations forces,NAVSOF
Naval Space Command,NAVSPACECOM
Naval Special Warfare Command,NAVSPECWARCOM
Naval Supply Systems Command,NAVSUP
navigation warfare,NAVWAR
Navy tactical air control center,Navy TACC
"Naval Air Warfare Center, Aircraft Division",NAWCAD
"nuclear, biological, and chemical",NBC
naval beach group,NBG
nonbattle injury,NBI
Naval Base Ventura County,NBVC
naval cooperation and guidance for shipping,NCAGS
naval coordination and protection of shipping,NCAPS
noncompliant boarding,NCB
Navy component command; Navy component commander,NCC
Nuclear Command and Control System,NCCS
National Climatic Data Center,NCDC
Net-Centric Enterprise Services,NCES
National Committee of Employer Support for the Guard and Reserve,NCESGR
naval construction force,NCF
naval construction group,NCG
natural and cultural resources and historic properties (DOI),NCH
Navy cargo-handling battalion,NCHB
National Cyber Investigative Joint Task Force-Analytical Group (DOD),NCIJTF-AG
Naval Criminal Investigative Service,NCIS
National Counterintelligence Executive,NCIX
National Center for Medical Intelligence,NCMI
Navy Capabilities and Mobilization Plan,NCMP
noncombat operations; noncommissioned officer,NCO
noncommissioned officer in charge,NCOIC
naval control of shipping,NCOS
National Oil and Hazardous Substances Pollution Contingency Plan,NCP
National Counterproliferation Center,NCPC
National Capital Region (US); naval construction regiment,NCR
National Capital Region-Integrated Air Defense System,NCR-IADS
National Capital Region Coordination Center; United States Northern Command Rescue Coordination Center,NCRCC
national cryptologic representative defense,NCRDEF
National Clandestine Service; National Communications System; net control station,NCS
National Counterintelligence and Security Center,NCSC
National Cyber Security Division (DHS),NCSD
National Counterterrorism Center,NCTC
national defense authorization act,NDAA
"Navy, Defense Logistics Agency, Air Force",NDAF
nondirectional beacon,NDB
national drug control strategy,NDCS
North American Aerospace Defense Command and United States Northern Command Deployment and Distribution Operations Cell,NDDOC
"National Defence Headquarters, Canada",NDHQ
National Defense Intelligence College,NDIC
National Disaster Medical System (DHHS),NDMS
national disclosure policy,NDP
National Disclosure Policy Committee,NDPC
National Detainee Reporting Center,NDRC
National Defense Reserve Fleet,NDRF
National Defense Sealift Fund,NDSF
nuclear disablement team,NDT
National Defense University,NDU
Northeast Asia,NEA
naval embarked advisory team,NEAT
National Economic Council,NEC
Navy Expeditionary Combat Command,NECC
Navy Expeditionary Intelligence Command,NEIC
Navy expeditionary logistics regiment,NELR
noncombatant evacuation operation,NEO
noncombatant evacuation operation coordination center,NEOCC
National Exercise Program,NEP
National Environmental Policy Act,NEPA
National Exploitation System,NES
"National Environmental Satellite, Data and Information Service (DOC)",NESDIS
nuclear emergency support team (DOE),NEST
Naval Network Warfare Command,NETWARCOM
net explosive weight,NEW
no-fire area,NFA
numbered fleet commander,NFC
Naval Facilities Expeditionary Logistics Center,NFELC
Naval Facilities Engineering Service Center,NFESC
national foreign intelligence,NFI
National Foreign Intelligence Board,NFIB
National Flood Insurance Program (FEMA),NFIP
naval forward logistic site,NFLS
National Guard,NG
National Geospatial-Intelligence Agency,NGA
National Guard Bureau,NGB
National Guard Bureau-Office of the Chaplain,NGB-OC
National Guard Coordination Center,NGCC
National Guard Counterdrug Program,NGCDP
National Guard Counterdrug Support Program,NGCSP
naval gunfire support,NGFS
National Ground Intelligence Center,NGIC
National Guard joint force headquarters-state,NG JFHQ-State
naval gunfire liaison officer,NGLO
nongovernmental organization,NGO
National Geospatial-Intelligence Agency Program,NGP
National Human Intelligence Manager directive,NHMD
National Intelligence Council,NIC
National Intelligence Coordination Center,NICC
National Incident Communications Conference Line,NICCL
National Interdiction Command and Control Plan,NICCP
national intelligence estimate,NIE
National Institutes of Health (DHHS),NIH
National Information Library,NIL
National Incident Management System,NIMS
Navy Information Operations Command,NIOC
National Intelligence Program,NIP
National Intelligence Priority Framework,NIPF
Nonsecure Internet Protocol Router Network,NIPRNET
national intelligence support plan,NISP
National Institute of Standards and Technology,NIST
nuclear incident team,NIT
national imagery transmission format,NITF
National Joint Operations and Intelligence Center,NJOIC
National Joint Terrorism Task Force,NJTTF
not later than,NLT
nautical mile,nm
Naval Mine and Anti-Submarine Warfare Command,NMAWC
Navy Munitions Command,NMC
naval mobile construction battalion,NMCB
National Military Command Center,NMCC
"National Military Command System; not mission capable, supply",NMCS
Navy and Marine Corps spectrum office,NMCSO
National Media Exploitation Center,NMEC
National Maritime Intelligence Center,NMIC
National Maritime Intelligence-Integration Office,NMIO
National Military Intelligence Support Team (DIA),NMIST
National Measurement and Signature Intelligence Office,NMO
national military strategy,NMS
National Military Strategy for Cyberspace Operations,NMS-CO
National Military Strategy to Combat Weapons of Mass Destruction,NMS-CWMD
North Atlantic Treaty Organization (NATO) Mutual Support Act,NMSA
Navy and Marine Corps Spectrum Center,NMSC
National Military Strategic Plan for the War on Terrorism,NMSP-WOT
National Nuclear Security Administration (DOE),NNSA
Naval Network Warfare Command,NNWC
National Oceanic and Atmospheric Administration (DOC),NOAA
Navy overseas air cargo terminal,NOACT
National Operations Center (DHS); network operations center,NOC
nap-of-the-earth,NOE
not releasable to foreign nationals,NOFORN
next of kin,NOK
Naval Operational Logistics Support Center,NOLSC
Navy Oceanographic Mine Warfare Center,NOMWC
contractors not authorized to accompany the force,non-CAAF
North American Aerospace Defense Command,NORAD
network operations and security center,NOSC
Navy Ordnance Safety and Security Activity,NOSSA
notice to airmen,NOTAM
national planning framework,NPF
National Protection and Programs Directorate (DHS),NPPD
National Park Service; nonprior service,NPS
Treaty on the Nonproliferation of Nuclear Weapons,NPT
nuclear/radiological advisory team,NRAT
National Response Center (USCG); non-unit-related cargo,NRC
Naval Reserve cargo-handling battalion,NRCHB
National Response Framework,NRF
notional requirements generator,NRG
National Reconnaissance Office,NRO
non-unit-related personnel,NRP
near real time,NRT
national security and emergency preparedness,NS/EP
National Security Agency; national shipping authority; North Atlantic Treaty Organization (NATO) Standardization Agency,NSA
National Security Agency/Central Security Service,NSA/CSS
National Science Advisory Board for Biosecurity (NIH),NSABB
National Search and Rescue Committee,NSARC
United States Northern Command situational awareness team,NSAT
Naval Strike and Air Warfare Center,NSAWC
National Security Council,NSC
National Security Council/Deputies Committee,NSC/DC
National Security Council/interagency policy committee,NSC/IPC
National Security Council/Principals Committee,NSC/PC
National Security Council System,NSCS
National Security Directive; National Security Division (FBI),NSD
national security decision directive,NSDD
national security decision memorandum,NSDM
Navy support element,NSE
national security forces; National Strike Force (USCG),NSF
naval surface fire support,NSFS
National System for Geospatial Intelligence,NSG
National Strategy for Homeland Security,NSHS
no-strike list,NSL
National Strategy for Maritime Security,NSMS
national stock number,NSN
National Security Operations Center,NSOC
National Search and Rescue Plan,NSP
national security Presidential directive,NSPD
National Strategy for Pandemic Influenza,NSPI
National Search and Rescue Supplement; national security strategy; national security system,NSS
national special security event,NSSE
National Geospatial-Intelligence Agency support team,NST
National Security Telecommunications Advisory Committee,NSTAC
National Secure Telephone System,NSTS
naval special warfare,NSW
Naval Surface Warfare Center Dahlgren Division,NSWCDD
"Naval Surface Warfare Center, Indian Head Explosive Ordnance Disposal Technology Division",NSWC IHEODTD
naval special warfare task force,NSWTF
naval special warfare task group,NSWTG
naval special warfare task unit,NSWTU
nontraditional agent,NTA
Navy tactical air control system,NTACS
National Telecommunications and Information Administration (DOC),NTIA
national or multinational technical means of verification; notice to mariners,NTM
Navy tactical reference publication,NTRP
noncombatant evacuation operation tracking system,NTS
National Transportation Safety Board,NTSB
"Navy tactics, techniques, and procedures",NTTP
non-unit-related cargo,NUC
Navy-unique fleet essential aircraft,NUFEA
non-unit-related personnel,NURP
night vision device,NVD
National Geospatial-Intelligence Agency voluntary deployment team,NVDT
night vision goggle,NVG
National Voluntary Organizations Active in Disaster,NVOAD
Navy Warfare Development Command,NWDC
Navy warfare publication,NWP
National Weather Service,NWS
operations and intelligence,O&I
operation and maintenance,O&M
objective area; operational area,OA
operational area evaluation,OAE
Operation ALLIED FORCE,OAF
Office of the Armed Forces Medical Examiner,OAFME
oceanographic area of interest,OAI
Office of Air and Marine (DHS),OAM
offset aimpoint,OAP
offensive air support; Organization of American States,OAS
Office of the Assistant Secretary of Defense,OASD
Office of the Assistant Secretary of Defense (Networks and Information Integration/Chief Information Officer),OASD(NII/CIO)
Office of the Assistant Secretary of Defense (Public Affairs),OASD(PA)
Office of the Assistant Secretary of Defense (Reserve Affairs),OASD(RA)
Organization of African Unity,OAU
order of battle,OB
outboard,O/B
Office of Biotechnology Activities (NIH); oxygen breathing apparatus,OBA
offshore bulk fuel system,OBFS
Office of Biometric Identity Management (DHS),OBIM
operations center,OC
offensive counterair; operational control authority,OCA
Office of Capacity Building and Development (USDA),OCBD
ocean cargo clearance authority,OCCA
Organized Crime and Drug Enforcement Task Force,OCDETF
Office for the Coordination of Humanitarian Affairs,OCHA
organizational clothing and individual equipment,OCIE
Office of the Chairman of the Joint Chiefs of Staff,OCJCS
offensive cyberspace operations; offload control officer,OCO
outside the continental United States,OCONUS
operational capability package,OCP
operational contract support,OCS
operational contract support integration cell,OCSIC
offload control unit,OCU
Office of Defense Cooperation,ODC
Office of the Deputy Chief of Staff for Logistics (Army),ODCSLOG
Office of the Director of National Intelligence,ODNI
operational environment,OE
organization for embarkation and assignment to shipping,OE&AS
Overseas Environmental Baseline Guidance Document,OEBGD
Office of Emergency Communications (DHS),OEC
Organisation for Economic Co-operation and Development,OECD
Operation ENDURING FREEDOM,OEF
operational experts group; operational exposure guidance; operations security executive group,OEG
occupational and environmental health,OEH
officer evaluation report,OER
office of emergency services,OES
Office of Foreign Assets Control (Treasury),OFAC
offensive counterintelligence operation,OFCO
Office of United States Foreign Disaster Assistance (USAID),OFDA
Organizational and Force Structure Construct,OFSC
"Overseas Humanitarian, Disaster, and Civic Aid (DSCA)",OHDACA
"Office of Humanitarian Assistance, Disaster Relief, and Mine Action",OHDM
operating instruction; operational interest,OI
Office of Insular Affairs (DOI); Office of International Affairs (Treasury),OIA
officer in charge,OIC
officer in charge of construction,OICC
Operation IRAQI FREEDOM,OIF
Office of Intelligence and Investigative Liaison (CBP),OIIL
other intelligence requirements,OIR
Office of the Chairman of the Joint Chiefs of Staff-Public Affairs,OCJCS-PA
on-the-job training,OJT
Office of Land and Emergency Management (EPA),OLEM
Office of Military Affairs (CIA and USAID),OMA
Office of Management and Budget,OMB
Office of Military Cooperation,OMC
Office of Mission Support,OMS
"Office of Medicine, Science, and Public Health (DHHS)",OMSPH
Office of National Drug Control Policy,ONDCP
Operation NOBLE EAGLE,ONE
Office of Naval Intelligence,ONI
order of battle,OOB
officer of the deck,OOD
"observe, orient, decide, act",OODA
out of service,OOS
observation post; ordnance publication,OP
Ocean Prediction Center (DOC),OPC
operational control,OPCON
"Office of Overseas Prosecutorial Development, Assistance, and Training (DOJ)",OPDAT
operational deception,OPDEC
offshore petroleum discharge system (USN),OPDS
offshore petroleum discharge system-future (USN),OPDS-Future
offshore petroleum discharge system-legacy (USN),OPDS-L
operational preparation of the environment,OPE
operational electronic intelligence,OPELINT
Office of Preparedness and Emergency Operations (DHHS),OPEO
opposing force; opposition force,OPFOR
operations planning group,OPG
operation general matter,OPGEN
overhead persistent infrared,OPIR
operation plan,OPLAN
operational law,OPLAW
Office of Personnel Management,OPM
Office of the Provost Marshal General,OPMG
Office of the Chief of Naval Operations,OPNAV
Chief of Naval Operations instruction,OPNAVINST
operation order,OPORD
off-load preparation party; orderwire patch panel,OPP
office of primary responsibility,OPR
operational report,OPREP
operational project,OPROJ
operational project stock,OPS
Service Operations Deputies,OPSDEPS
operations security,OPSEC
operational stock,OPSTK
operational planning team,OPT
operating target,OPTAR
operation task,OPTASK
operations task link,OPTASKLINK
operating tempo,OPTEMPO
operational readiness,OR
order of battle,ORBAT
Office of Research and Development (EPA),ORD
operational risk management,ORM
ocean reception point,ORP
operationally responsive space,ORS
operations research and systems analysis,ORSA
operating stocks; operating system,OS
operational support airlift,OSA
offensive space control; on-scene commander; on-site commander; Open Source Center (CIA),OSC
Organization for Security and Cooperation in Europe,OSCE
Office of the Secretary of Defense,OSD
"Office of the Secretary of Defense, Defense Military Deception Program Office",OSD/DMDPO
operations support element,OSE
operational significant event imagery,OSEI
open-source information; open-source intelligence,OSINT
Office of Spectrum Management (NTIA),OSM
on-site operations coordination center,OSOCC
on-station report,OSR
operational test and evaluation,OT&E
Office of Technical Assistance (Treasury),OTA
officer in tactical command; over the counter,OTC
"organize, train, equip, rebuild/build, and advise",OTERA
over the horizon,OTH
Office of Transition Initiatives (USAID),OTI
offshore petroleum discharge system utility boat,OUB
Office of the Under Secretary of Defense,OUSD
Office of the Under Secretary of Defense (Comptroller),OUSD(C)
Office of the Under Secretary of Defense (Comptroller/Chief Financial Officer),OUSD(C/CFO)
Office of the Under Secretary of Defense (Intelligence),OUSD(I)
Office of the Under Secretary of Defense for Policy,OUSD(P)
"Office of the Under Secretary of Defense (Acquisition, Technology, and Logistics)",OUSD(AT&L)
Operation VIGILANT MARINER,OVM
operational weather squadron,OWS
publication,P
physician assistant; primary agency; probability of arrival; public affairs,PA
Pacific Air Forces,PACAF
patient administration director,PAD
person authorized to direct disposition of human remains,PADD
public affairs guidance,PAG
pallet container,PALCON
preventive and aerospace medicine,PAM
passage material,PaM
public affairs office; public affairs officer,PAO
population at risk,PAR
Personnel and Accountability System,PARS
phased array warning system,PAWS
passengers; public affairs plans,PAX
peace building,PB
planning board for training,PB4T
performance-based agreement; production base analysis,PBA
person-borne improvised explosive device,PBIED
Planning Board for Ocean Shipping,PBOS
program and budget review,PBR
patrol craft; preliminary coordination; Principals Committee,PC
"post, camp, and station",PC&S
Posse Comitatus Act,PCA
Preliminary Credibility Assessment Screening System,PCASS
police contributing country; policy coordination committee,PCC
primary control officer; procuring contracting officer,PCO
primary casualty receiving and treatment ship,PCRTS
permanent change of station; primary control ship ,PCS
pure car and truck carrier,PCTC
position description; priority designator; probability of damage; probability of detection; program directive; public diplomacy,PD
preliminary damage assessment,PDA
prioritized defended asset list,PDAL
Pacific Disaster Center,PDC
Presidential decision directive,PDD
portable data file,PDF
predeployment site survey,PDSS
partnership development team,PDT
Principal Deputy Under Secretary of Defense (Personnel and Readiness),PDUSD(P&R)
personal effects; preparation of the environment; program element,PE
"processing, exploitation, and dissemination",PED
personnel effects inventory officer,PEIO
peace enforcement operations; program executive office,PEO
personnel exchange program,PEP
person eligible to receive effects,PERE
"planning, embarkation, rehearsal, movement, and action",PERMA
permanent representative (NATO),PERMREP
personnel support for contingency operations,PERSCO
primary federal agency,PFA
planning factors database,PFDB
principal federal offical,PFO
Partnership for Peace (NATO),PfP
"procedures, guidance, and information",PGI
precision-guided munition,PGM
public health emergency officer,PHEO
amphibious construction battalion,PHIBCB
amphibious operation,PHIBOP
amphibious squadron,PHIBRON
port handling/in-land transportation,PHIT
pandemic influenza; point of impact; purposeful interference,PI
probability of incapacitation,Pi
pandemic influenza and infectious disease,PI&ID
President’s Intelligence Advisory Board,PIAB
payment in cash,PIC
plan identification number; positive identification,PID
pre-incident indicators,PII
personnel increment number,PIN
public information officer,PIO
priority intelligence requirement,PIR
pilot report,PIREP
purposeful interference response team,PIRT
post isolation support activity,PISA
patient isolation unit,PIU
pararescue jumper,PJ
probability of kill,PK
purple kill box,PKB
public key infrastructure,PKI
peacekeeping operations,PKO
Peacekeeping and Stability Operations Institute,PKSOI
phase line,PL
post-launch abort,PLA
plain language address directory,PLAD
planning order,PLANORD
personal locator beacon,PLB
palletized load system,PLS
platoon,PLT
Bureau of Political-Military Affairs (DOS); patient movement; peacemaking; preventive medicine; program management; program manager; provost marshal,PM
political/military assessment,PMA
private military company,PMC
post maintenance check flight,PMCF
professional military education,PME
"political, military, economic, social, information, and infrastructure",PMESII
program manager's guidance memorandum,PMGM
patient movement item; prevention of mutual interference,PMI
Patient Movement Item Tracking System,PMITS
production management office(r); program management office,PMO
patient movement request; patient movement requirement,PMR
patient movement requirements center,PMRC
partner nation,PN
postal net alert,PNA
"positioning, navigation, and timing",PNT
peace operations; petty officer,PO
plan of action,POA
persons on board,POB
point of contact,POC
port operations cargo detachment,POCD
plan of the day; port of debarkation; probability of detection,POD
port of embarkation; port of entry,POE
polar operational environment satellite,POES
priority of fires,POF
port operations group,POG
"petroleum, oils, and lubricants",POL
policy advisor; political advisor ,POLAD
bulk petroleum capabilities report,POLCAP
political-military,POLMIL
program objective memorandum,POM
port simulation model,PORTSIM
point of sale; Point-of-Service; probability of success,POS
President of the United States,POTUS
privately owned vehicle,POV
prisoner of war,POW
prisoner of war/missing in action,POW/MIA
proposed public affairs guidance,PPAG
"Planning, Programming, Budgeting, and Execution",PPBE
Presidential policy directive,PPD
personal protective equipment,PPE
personnel processing file,PPF
precise participant location and identification,PPLI
petroleum pipeline and terminal operating,PPTO
personnel recovery; Phoenix Raven; production requirement; program review,PR
patient reception area; primary review authority,PRA
populace and resources control; Presidential Reserve Call-up; primary receiving center,PRC
personnel recovery coordination cell; personnel recovery coordination center,PRCC
personnel recovery coordination section,PRCS
personnel readiness division; Presidential review directive,PRD
personnel recovery duty officer,PRDO
"pre-positioned force, equipment, or supplies; pre-positioning",PREPO
pre-arrival report,PREREP
pulse repetition frequency,PRF
personnel recovery guidance,PRG
primary flight control,PRIFLY
prime base engineer emergency force,Prime BEEF
"Planning Tool for Resource, Integration, Synchronization, and Management",PRISM
"Bureau of Population, Refugees, and Migration (DOS)",PRM
personnel recovery mission software,PRMS
providing organization,PROVORG
Personnel Retrieval and Processing,PRP
personnel recovery reference product,PRRP
patient reception team; provincial reconstruction team,PRT
personnel recovery task force,PRTF
port security,PS
port support activity; principal staff assistant,PSA
private security contractor,PSC
port security detachment,PSD
Proliferation Security Initiative,PSI
pounds per square inch,psi
peace support operations (NATO); post security officer,PSO
personnel services support,PSS
Precision Strike Suite-Special Operations Forces,PSS-SOF
precipitation static,P-STATIC
port security unit,PSU
prepare to deploy order,PTDO
personnel transport module,PTM
precise time and time interval,PTTI
packup kit,PUK
prime vendor,PV
preventive medicine,PVNTMED
"positioning, velocity, and timing",PVT
protection working group,PWG
pre-positioned war reserve requirements,PWRR
petroleum war reserve stocks; pre-positioned war reserve stock,PWRS
performance work statement,PWS
precision weapons team,PWT
quality assurance,QA
quality assurance representative,QAR
quality assurance team,QAT
quality control,QC
quadrennial defense review,QDR
qualified hazardous duty area,QHDA
quick impact project,QIP
quartermaster,QM
quick reaction force; quick response force,QRF
quick response graphic,QRG
quick response posture,QRP
quality surveillance,QS
quadripartite standardization agreement,QSTAG
quadruple container,QUADCON
research and development,R&D
rest and recuperation,R&R
reconstruction and stabilization,R&S
rapid response planning process,R2P2
response action; risk analysis; risk assessment,RA
readiness assessment system - output tool,RAC-OT
routine aerial distribution,RAD
radio battalion,RADBN
regional air defense commander,RADC
radiological control team,RADCON
Royal Air Force (UK),RAF
"raised angle marker; random antiterrorism measure; rockets, artillery, and mortars",RAM
regional air movement control center,RAMCC
Radiological Assistance Program (DOE),RAP
readiness assessment system-output tool,RAS-OT
"refine, adapt, terminate, execute",RATE
reimbursable budget authority,RBA
red blood cell,RBC
Reserve Component; resident coordinator (UN),RC
riot control agent,RCA
regional contracting center; rescue coordination center,RCC
regional collection detachment,RCD
regional contingency engineering management,RCEM
radio-controlled improvised explosive device,RCIED
Rules for Courts-Martial,RCM
Royal Canadian Mounted Police,RCMP
regional contracting office,RCO
regimental combat team; rescue coordination team (Navy),RCT
Regional Defense Counterterrorism Fellowship Program,RDCFP
Regional Defense Combating Terrorism Fellowship Program,RDCTFP
radiological dispersal device; required delivery date,RDD
request for deployment order,RDO
"research, development, test and evaluation",RDT&E
Rapid Environmental Impact Assessment,REA
radiation emergency assistance center/training site (DOE),REAC/TS
radiological exposure device,RED
rapid engineer deployable heavy operational repair squadron engineer,RED HORSE
Rapid Equipping Force (Army),REF
bulk petroleum contingency report,REPOL
reporting unit,REPUNIT
radiation exposure status,RES
rescue combat air patrol,RESCAP
rescue escort,RESCORT
responsible production,RESPROD
radio frequency; reserve force,RF
request for assistance; restrictive fire area,RFA
request for capabilities; revision final coordination,RFC
radio frequency countermeasures,RF CM
revision first draft,RFD
request for feedback; request for forces,RFF
radio frequency interference; request for information,RFI
radio frequency identification,RFID
restrictive fire line,RFL
request for proposal,RFP
request for service; request for support,RFS
remote geospatial intelligence services,RGS
Rhesus,Rh
rigid hull inflatable boat,RHIB
regional interface control officer,RICO
replacement in kind,RIK
ready-to-load date,RLD
ramp module; recovery mechanism; resource management; risk management,RM
rescue mission commander,RMC
regional Marine officer,RMO
religious ministry professional,RMP
requirements management system,RMS
response management team,RMT
roll-on/roll-off,RO/RO
rehearsal of concept,ROC
rules of engagement,ROE
resident officer in charge of construction,ROICC
Republic of Korea,ROK
restriction of movement; rough order of magnitude,ROM
range of military operations,ROMO
remain overnight,RON
reduced operating status,ROS
Reserve Officer Training Corps,ROTC
reverse osmosis water purification unit,ROWPU
restricted operations zone,ROZ
religious program specialist; retained personnel,RP
rocket propelled grenade,RPG
revolutions per minute,RPM
rendezvous and proximity operations,RPO
rapid port opening element,RPOE
rapid query tool,RQT
reattack recommendation,RR
regional response coordination center,RRCC
roll-on/roll-off discharge facility,RRDF
rapid response force; Ready Reserve Force,RRF
religious support,RS
regional service center; rescue sub-center,RSC
retrograde support element,RSE
recovery support function,RSF
"rationalization, standardization, and interoperability",RSI
role specialist nation,RSN
"reception, staging, and onward movement; regional security officer; remote split operations",RSO
"reception, staging, onward movement, and integration",RSOI
really simple syndication,RSS
regional space support center,RSSC
regional space support center liaison officer,RSSC-LO
religious support team,RST
"reconnaissance, surveillance, and target acquisition",RSTA
recovery team; rough terrain,RT
return to base,RTB
rough terrain container crane,RTCC
rough terrain container handler,RTCH
returned to duty,RTD
return to force,RTF
restricted target list,RTL
rules for the use of force,RUF
rendezvous,RV
rotary-wing,RW
radar warning receiver,RWR
search and recovery,S&R
science and technology; scientific and technical,S&T
scientific and technical intelligence,S&TI
battalion or brigade manpower and personnel staff officer (Marine Corps battalion or regiment),S-1
"battalion or brigade intelligence staff officer (Army, Marine Corps battalion or regiment)",S-2
battalion or brigade operations staff officer (Army; Marine Corps battalion or regiment),S-3
staff augmentation team,S-Team
Office of the Coordinator for Reconstruction and Stabilization (DOS),S/CRS
Office of the Coordinator for Counterterrorism (DOS),S/CT
security assistance; situational awareness; staging area,SA
senior airfield authority,SAA
standard use Army aircraft flight route,SAAFR
special assignment airlift mission,SAAM
special actions cell; supporting arms coordinator,SAC
supporting arms coordination center (USMC),SACC
"Supreme Allied Commander, Europe (NATO)",SACEUR
Supreme Allied Commander Transformation,SACT
sector air defense commander,SADC
situation awareness data link,SADL
senior air defense officer,SADO
secure analyst file environment; selected area for evasion; sexual assault forensic examination,SAFE
surface action group,SAG
single-anchor leg mooring,SALM
supporting arms liaison team,SALT
surface-to-air missile,SAM
security assistance office; security assistance officer,SAO
special access program,SAP
subarea petroleum office,SAPO
sexual assault prevention and response,SAPR
satellite access request; search and rescue; special access requirement; suspicious activity report; synthetic aperture radar,SAR
sexual assault response coordinator,SARC
search and rescue point,SARDOT
search and rescue incident report,SARIR
Search and Rescue Optimal Planning System,SAROPS
search and rescue request,SARREQ
search and rescue satellite-aided tracking,SARSAT
search and rescue situation summary report,SARSIT
satellite communications,SATCOM
satellite reconnaissance advanced notice,SATRAN
Stryker brigade combat team,SBCT
sensitive but unclassified,SBU
security cooperation; strategic communication,SC
sociocultural analysis; space coordinating authority; support to civil administration,SCA
strike coordination and reconnaissance,SCAR
service cryptologic component; shipping coordination center,SCC
United States Strategic Command Center for Combating Weapons of Mass Destruction ,SCC-WMD
Save the Children Federation (United States),SCF(US)
Security Cooperation Guidance,SCG
"shape, clear, hold, build, and transition",SCHBT
sensitive compartmented information,SCI
sensitive compartmented information facility,SCIF
standard conventional load,SCL
security countermeasure; Service container manager,SCM
secondary control officer; security cooperation organization; senior contracting official; state coordinating officer,SCO
security cooperation plan; service control point,SCP
shipping coordination team,SCT
severe damage; strategy division,SD
senior development advisor,SDA
Satellite Communications Database; small diameter bomb,SDB
Military Surface Deployment and Distribution Command,SDDC
Surface Deployment and Distribution Command Transportation Engineering Agency,SDDCTEA
self defense force,SDF
senior defense official; ship's debarkation officer,SDO
senior defense official/defense attaché,SDO/DATT
strategic distribution platform,SDP
self-defense zone,SDZ
site exploitation; spherical error,SE
ships' bunkers easy acquisition; Southeast Asia,SEA
